RegionID,SizeRank,RegionName,RegionType,StateName,2018-01-31,2018-02-28,2018-03-31,2018-04-30,2018-05-31,2018-06-30,2018-07-31,2018-08-31,2018-09-30,2018-10-31,2018-11-30,2018-12-31,2019-01-31,2019-02-28,2019-03-31,2019-04-30,2019-05-31,2019-06-30,2019-07-31,2019-08-31,2019-09-30,2019-10-31,2019-11-30,2019-12-31,2020-01-31,2020-02-29,2020-03-31,2020-04-30,2020-05-31,2020-06-30,2020-07-31,2020-08-31,2020-09-30,2020-10-31,2020-11-30,2020-12-31,2021-01-31,2021-02-28,2021-03-31,2021-04-30,2021-05-31,2021-06-30,2021-07-31,2021-08-31
394714,40,"Jacksonville, FL",Msa,FL,300963.0,304930.0,309963.0,314633.0,316333.0,316300.0,312967.0,307966.0,302666.0,298000.0,296300.0,296296.0,296296.0,297663.0,299755.0,304755.0,311755.0,313997.0,310663.0,303963.0,299630.0,299297.0,298993.0,298163.0,298480.0,301813.0,306313.0,307163.0,309133.0,312130.0,317830.0,319197.0,317867.0,314667.0,309333.0,307333.0,307663.0,312393.0,318723.0,328393.0,339993.0,347330.0,350827.0,351830.0
394849,41,"Memphis, TN",Msa,TN,187574.0,182802.0,181244.0,184266.0,187447.0,195049.0,200011.0,205673.0,207407.0,208966.0,209061.0,206087.0,202935.0,200454.0,203285.0,208059.0,215948.0,221069.0,224250.0,224106.0,223756.0,223725.0,223868.0,224218.0,222659.0,222627.0,225808.0,230579.0,236305.0,241712.0,248074.0,251920.0,248103.0,244922.0,243303.0,243271.0,242126.0,238931.0,239608.0,242642.0,249763.0,253231.0,255231.0,255302.0
394935,42,"Oklahoma City, OK",Msa,OK,236174.0,238234.0,243038.0,248223.0,252721.0,253412.0,253412.0,250661.0,248943.0,247191.0,247195.0,247162.0,249566.0,254339.0,262923.0,271368.0,277923.0,279331.0,277101.0,272572.0,269447.0,267730.0,267799.0,267799.0,269516.0,273465.0,278822.0,282255.0,286891.0,293930.0,299713.0,301086.0,297309.0,294943.0,293171.0,291420.0,290208.0,292744.0,300395.0,312095.0,317745.0,315650.0,307317.0,301333.0
394807,43,"Louisville-Jefferson County, KY",Msa,KY,232000.0,240300.0,253933.0,266567.0,274600.0,276600.0,274800.0,271467.0,267833.0,265700.0,261783.0,256783.0,254050.0,256967.0,265800.0,277333.0,286633.0,291100.0,289600.0,284633.0,277967.0,269600.0,259933.0,251967.0,248500.0,253133.0,264681.0,278148.0,290148.0,296567.0,299600.0,296300.0,287967.0,277967.0,265967.0,259300.0,255967.0,261267.0,269600.0,278263.0,285293.0,288458.0,286762.0,282428.0
394669,44,"Hartford, CT",Msa,CT,267870.0,272167.0,280467.0,286267.0,289900.0,289933.0,289933.0,289633.0,287933.0,286267.0,283233.0,281567.0,279900.0,281600.0,284967.0,291633.0,296600.0,302567.0,302567.0,302267.0,298633.0,296567.0,293533.0,290867.0,288933.0,288967.0,294933.0,302267.0,312267.0,319933.0,329933.0,336567.0,336567.0,333233.0,328267.0,325300.0,325333.0,330300.0,339933.0,348233.0,351567.0,347933.0,339600.0,331300.0
395022,45,"Richmond, VA",Msa,VA,297837.0,298559.0,306181.0,317869.0,325755.0,329157.0,329466.0,327247.0,322470.0,315631.0,310979.0,309226.0,309192.0,310927.0,319552.0,331597.0,343590.0,348401.0,349106.0,344638.0,338195.0,330635.0,326511.0,326391.0,329140.0,334295.0,341185.0,350119.0,359776.0,369759.0,376958.0,381065.0,380085.0,379588.0,379121.0,381630.0,384663.0,388663.0,391997.0,391330.0,388117.0,379767.0,371515.0,364030.0
394910,46,"New Orleans, LA",Msa,LA,245967.0,243127.0,243793.0,250127.0,257600.0,262633.0,264267.0,262933.0,260600.0,257600.0,254300.0,251633.0,250000.0,252000.0,256667.0,263300.0,269600.0,272733.0,272733.0,270767.0,269300.0,268667.0,267967.0,266500.0,263833.0,262867.0,264633.0,269633.0,276433.0,282800.0,289133.0,294300.0,297633.0,299467.0,299167.0,299333.0,297833.0,297500.0,297667.0,305967.0,314967.0,324633.0,326333.0,324333.0
394425,47,"Buffalo, NY",Msa,NY,176331.0,178044.0,184895.0,193494.0,200346.0,203772.0,205451.0,204629.0,202950.0,199524.0,195207.0,190034.0,186643.0,187703.0,191163.0,197981.0,204457.0,210590.0,214049.0,211651.0,208602.0,204697.0,200963.0,197845.0,194556.0,194865.0,198291.0,205142.0,215454.0,225766.0,232926.0,232923.0,229463.0,226611.0,223541.0,220502.0,217259.0,224930.0,235933.0,249900.0,256567.0,256567.0,249900.0,239900.0
395012,48,"Raleigh, NC",Msa,NC,357933.0,359633.0,366633.0,376633.0,383267.0,383267.0,381267.0,377867.0,374233.0,367567.0,361908.0,357242.0,355242.0,356000.0,362667.0,373333.0,383300.0,386633.0,383600.0,378600.0,375233.0,373233.0,368900.0,363900.0,360567.0,363233.0,369600.0,373437.0,379103.0,384437.0,393933.0,398967.0,402600.0,401800.0,398433.0,395133.0,394300.0,398300.0,404267.0,412567.0,417973.0,421481.0,423181.0,426441.0
394388,49,"Birmingham, AL",Msa,AL,206600.0,207133.0,215133.0,226584.0,236051.0,239384.0,239900.0,239900.0,238267.0,234633.0,231000.0,229300.0,229600.0,233233.0,239900.0,249900.0,258567.0,265233.0,270267.0,271633.0,272060.0,271727.0,271693.0,269632.0,266598.0,265870.0,267505.0,269172.0,273233.0,277933.0,281557.0,281257.0,276590.0,274017.0,272317.0,274833.0,276100.0,278100.0,278883.0,284250.0,288583.0,290917.0,286600.0,284850.0
